Group,Type,Question,CorrectAns,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,CorrectExplanation,IncorrectExplanation
Section 1,TMCMA,"Which of the following methods can be used to concatenate two matrices, `A` and `B`, horizontally in MATLAB?","1, 3","`C = [A, B]`","`C = vertcat(A, B)`","`C = horzcat(A, B)`","`C = concat(A, B, 'horizontal')`","`C = append(A, B, 2)`",,,,"`[A, B]` and `horzcat(A, B)` perform horizontal concatenation, while `vertcat` performs vertical concatenation.",Correct syntax for matrix concatenation.
Section 1,TMC,"Given a matrix `A`, how can you efficiently create a new matrix `B` that contains only the unique rows of `A`?",4,`B = unique(A)`,"`B = A(unique(A),:)`","`B = A(ismember(A, 'rows'))`","`B = unique(A, 'rows')`",,,,,"`unique(A, 'rows')` is the correct and most efficient way to extract the unique rows of a matrix.",The correct method for unique rows.
Section 1,TTF,"The command `reshape(A, [ ], 1)` always converts the matrix `A` into a row vector.",,1,"`reshape(A, [ ], 1)` converts the matrix `A` into a column vector. To create a row vector, use `reshape(A, 1, [ ])`.",,,,,,,Creates a column vector instead of a row.,
Section 1,TMC,You have a matrix `A` containing numerical data. You need to find the indices of the rows where the sum of the elements in each row is greater than a specified threshold value. Which approach is MOST efficient?,1,"`rows = find(sum(A, 2) > threshold)`",`rows = find(sum(A') > threshold)`,"`rows = [] ; for i = 1:size(A,1) if sum(A(i,:)) > threshold; rows = [rows i]; end; end`","`rows = A(sum(A,2) > threshold)`",,,,,"`find(sum(A, 2) > threshold)` calculates the row sums using `sum(A, 2)`, compares them to the threshold, and uses `find` to get the row indices.",This is the right implementation.
Section 1,TMCMA,Which of the following commands can be used to find the maximum value in a matrix `A` along with its linear index?,"1, 3","`[max_val, index] = max(A(:))`",`max(A(:))`,"`[max_val, index] = max(A)`",`max(max(A))`,`find(max(A))`,,,,"`[max_val, index] = max(A(:))` gives the maximum value and index. `max(A(:))` only gives the maximum value.",Correct syntax for finding max value and index.
Section 1,TMC,"Given a matrix `A`, how can you efficiently replace all elements greater than a threshold with a specific value, `replacementValue`, using logical indexing?",3,`A(A > threshold) = replacementValue`,`A(find(A > threshold)) = replacementValue`,`A(A > threshold) = replacementValue`,`for i=1:numel(A) if A(i) > threshold A(i) = replacementValue; end; end`,,,,,`A(A > threshold) = replacementValue` is the most concise and efficient way to perform this replacement using logical indexing.,Accurate logical indexing usage.
Section 1,TTF,"The expression `A(1:end)` will always return the entire matrix `A` as a column vector, regardless of the dimensions of `A`.",,1,`A(1:end)` will return the entire matrix `A` as a column vector only when A is a 2D matrix. If A has more dimensions then it will return the first column as a vector.,,,,,,,Only for 2D matrix will it linearize the entire matrix.,
Section 1,TMC,You have a matrix `A` representing an image. You want to rotate the image by 90 degrees counterclockwise. Which function is MOST appropriate for this task?,2,`flipud(A)`,`rot90(A)`,`fliplr(A)`,`transpose(A)`,,,,,`rot90(A)` rotates the matrix `A` by 90 degrees counterclockwise.,The function for 90-degree rotation.
Section 1,TMCMA,Which of the following are valid ways to access the last element in the first row of a matrix `A`? Assume that A is at least 1x1 in dimension.,"1, 4","`A(1, end)`",`A(end)`,"`A(1, size(A, 2))`","`A(1, size(A,2))`","`A(end, 1)`",,,,"`A(1, end)` is the standard way to access the last element in the first row, and `A(1, size(A,2))` is another way to do so using the size function to calculate the last element's index in the second dimension.",Proper array access for the end value.
Section 1,TMC,"Given a matrix `A` and a vector `v`, how can you efficiently add the vector `v` to each row of the matrix `A`? Assume they are appropriately sized.",1,"`A + repmat(v, size(A, 1), 1)`",`A + v`,`A + v'`,"`A(i,:) + v`",,,,,"`A + repmat(v, size(A, 1), 1)` replicates the vector `v` to match the number of rows in `A`, then adds it to `A`. The other suggestions either won't work or assume that `v` is a column vector, when it is a vector in general.",Correct syntax for adding a vector to each matrix row.
Section 1,TTF,"In MATLAB, the expression `A(:,:)` is equivalent to simply writing `A`, regardless of the dimensions of `A`.",1,,"`A(:,:)` is equivalent to `A`.",,,,,,,Selects the whole matrix.,
Section 1,TMC,You have a matrix `A`. You want to shift the elements of each row circularly to the left by `n` positions. Which approach is MOST efficient?,4,Use a `for` loop to iterate through each row and shift the elements individually.,Use the `circshift` function to shift the entire matrix by `n` columns.,Use the `reshape` function to convert the matrix to a vector and then shift the elements.,Use the `circshift` function with the appropriate dimensions argument to shift each row separately.,,,,,"`circshift(A, [0 n], 2)` shifts each row circularly by n positions using the dimension argument.",Proper use of circular shift.
Section 1,TMCMA,Which of the following commands can be used to find the row and column indices of all non-zero elements in a matrix `A`?,"1, 4","`[row, col] = find(A)`",`find(A)`,"`[row, col] = find(A ~= 0)`",`find(A ~= 0)`,"`[row, col] = ind2sub(size(A), find(A))`",,,,"`[row, col] = find(A)` returns the row and column indices, while `find(A ~= 0)` is a redundant double-check for nonzero values.",find syntax
Section 1,TMC,"Given a matrix `A`, how can you efficiently calculate the sum of the diagonal elements?",2,`sum(A)`,`trace(A)`,`sum(diag(A))`,"`for i=1:size(A,1) sum = sum + A(i,i); end`",,,,,`trace(A)` is the simplest and most efficient way to calculate the sum of the diagonal elements.,Simplest implementation.
